R254,43750.271511,0.224617,43750.271544,43750.496162
R255,43750.719245,0.217625,43750.719273,43750.936900
R256,43750.807762,0.225779,43750.936944,43751.162724
R257,43751.075034,0.067019,43751.162756,43751.229776
R258,43751.302404,0.133972,43751.302434,43751.436408
R259,43752.235460,0.075219,43752.235519,43752.310741
R260,43752.796478,0.446682,43752.796541,43753.243231
R261,43753.153455,0.032697,43753.243352,43753.276050
R262,43754.069039,0.074129,43754.069071,43754.143202
R263,43754.760401,0.118692,43754.760429,43754.879127
R264,43755.098947,0.132026,43755.098993,43755.231020
R265,43755.596855,0.077275,43755.596892,43755.674169
R266,43755.698519,0.015222,43755.698550,43755.713773
R267,43755.910555,0.166926,43755.910607,43756.077536
R268,43756.439690,0.090990,43756.439741,43756.530734
R269,43757.127664,0.078892,43757.127697,43757.206591
R270,43757.304988,0.086444,43757.305021,43757.391466
R271,43757.608442,0.013381,43757.608470,43757.621852
R272,43757.866283,0.002793,43757.866325,43757.869119
R273,43758.154709,0.060844,43758.154736,43758.215581
R274,43758.557076,0.060309,43758.557106,43758.617417
R275,43759.152982,0.056081,43759.153086,43759.209172
R276,43759.192942,0.004143,43759.209291,43759.213435
R277,43759.431031,0.040465,43759.431064,43759.471530
R278,43759.992383,0.050142,43759.992415,43760.042558
R279,43760.330808,0.044405,43760.330849,43760.375255
R280,43760.382661,0.043514,43760.382690,43760.426205
R281,43760.477286,0.105368,43760.477315,43760.582684
R282,43760.483186,0.139697,43760.582719,43760.722417
R283,43760.767445,0.049328,43760.767480,43760.816809
R284,43761.058793,0.444320,43761.058823,43761.503148
R285,43761.275149,0.006430,43761.503238,43761.509669
R286,43761.295380,0.075793,43761.509702,43761.585496
R287,43761.636672,0.020682,43761.636703,43761.657387
R288,43761.720639,0.214219,43761.720674,43761.934894
R289,43762.052326,0.051790,43762.052359,43762.104150
R290,43762.498790,0.158420,43762.498849,43762.657272
R291,43762.691275,0.247849,43762.691319,43762.939169
R292,43763.708147,0.121398,43763.708183,43763.829583
R293,43764.472714,0.064123,43764.472765,43764.536892
R294,43764.608045,0.054102,43764.608077,43764.662181
R295,43764.690527,0.052306,43764.690565,43764.742873
R296,43765.688014,0.284973,43765.688146,43765.973128
R297,43766.407088,0.051047,43766.407148,43766.458198
R298,43766.474835,0.121196,43766.474866,43766.596063
R299,43766.979991,0.024821,43766.980111,43767.004936
R300,43767.764050,0.275881,43767.764154,43768.040040
R301,43768.242106,0.042900,43768.242146,43768.285048
R302,43768.376562,0.067370,43768.376595,43768.443967
R303,43768.650890,0.017666,43768.650959,43768.668629
R304,43768.975405,0.037204,43768.975437,43769.012643
R305,43769.192116,0.206932,43769.192148,43769.399081
R306,43769.545831,0.077732,43769.545879,43769.623612
R307,43769.624743,0.009690,43769.624776,43769.634467
R308,43770.293358,0.018491,43770.293391,43770.311884
R309,43770.449294,0.074849,43770.449327,43770.524177
R310,43770.795978,0.075599,43770.796011,43770.871611
R311,43771.172263,0.068580,43771.172294,43771.240875
R312,43771.192516,0.023158,43771.240915,43771.264073
R313,43771.468962,0.035113,43771.468996,43771.504110
R314,43771.475362,0.214415,43771.504145,43771.718561
R315,43771.478432,0.122722,43771.718594,43771.841317
R316,43771.785081,0.225595,43771.841360,43772.066956
R317,43772.512487,0.049514,43772.512538,43772.562055
R318,43772.575876,0.132156,43772.575904,43772.708061
R319,43772.798870,0.281006,43772.798905,43773.079913
R320,43773.138541,0.028881,43773.138584,43773.167465
R321,43773.194856,0.037979,43773.194887,43773.232867
R322,43773.907832,0.114741,43773.907865,43774.022608
R323,43774.673511,0.026568,43774.673544,43774.700113
